country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha,lr_5yr_pct,premium_eur_ha
CZ,CZ-KR,Hradec Králové,Z2,3,,,,,,,,,,,25.43,7.61,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-LI,Liberec,Z3,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-MO,Moravian-Silesian,Z2,3,,,,,,,,,,,25.43,7.25,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-OL,Olomouc,Z2,3,,,,,,,,,,,25.43,7.2,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-PA,Pardubice,Z2,3,,,,,,,,,,,25.43,7.48,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-PL,Plzeň,Z3,3,,,,,,,,,,,25.43,8.79,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-PR,Prague,Z2,3,,,,,,,,,,,25.43,5.66,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-ST,Central Bohemia,Z2,3,,,,,,,,,,,25.43,7.25,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-US,Ústí nad Labem,Z3,3,,,,,,,,,,,25.43,7.07,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-VY,Vysočina,Z3,3,,,,,,,,,,,25.43,7.16,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-ZL,Zlín,Z2,3,,,,,,,,,,,25.43,5.66,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
SK,SK-BA,Bratislava,Z2,3,,,,,,,,,,,25.25,5.33,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-BB,Banská Bystrica,Z3,3,,,,,,,,,,,25.25,5.42,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-KE,Košice,Z1,3,,,,,,,,,,,25.25,5.42,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-NI,Nitra,Z1,3,,,,,,,,,,,25.25,5.33,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-PO,Prešov,Z2,3,,,,,,,,,,,25.25,5.52,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-TN,Trenčín,Z2,3,,,,,,,,,,,25.25,5.38,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-TT,Trnava,Z2,3,,,,,,,,,,,25.25,5.33,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
SK,SK-ZA,Žilina,Z3,3,,,,,,,,,,,25.25,5.33,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
