Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Calarasi, Year 2004, Hectares, 8285
Rapeseed, Total, Calarasi, Year 2005, Hectares, 15059
Rapeseed, Total, Calarasi, Year 2006, Hectares, 23765
Rapeseed, Total, Calarasi, Year 2007, Hectares, 51712
Rapeseed, Total, Calarasi, Year 2008, Hectares, 36948
Rapeseed, Total, Calarasi, Year 2009, Hectares, 42062
Rapeseed, Total, Calarasi, Year 2010, Hectares, 65744
Rapeseed, Total, Calarasi, Year 2011, Hectares, 35939
Rapeseed, Total, Calarasi, Year 2012, Hectares, 13074
Rapeseed, Total, Calarasi, Year 2013, Hectares, 46859
Rapeseed, Total, Calarasi, Year 2014, Hectares, 56962
Rapeseed, Total, Calarasi, Year 2015, Hectares, 47896
Rapeseed, Total, Calarasi, Year 2016, Hectares, 55077
Rapeseed, Total, Calarasi, Year 2017, Hectares, 68869
Rapeseed, Total, Calarasi, Year 2018, Hectares, 68126
Rapeseed, Total, Calarasi, Year 2019, Hectares, 39057
Rapeseed, Total, Calarasi, Year 2020, Hectares, 31453
Rapeseed, Total, Calarasi, Year 2021, Hectares, 45506
Rapeseed, Total, Calarasi, Year 2022, Hectares, 49176
Rapeseed, Total, Calarasi, Year 2023, Hectares, 56518
Rapeseed, Total, Calarasi, Year 2024, Hectares, 49604
Rapeseed, Total, Cluj, Year 1998, Hectares, 35
Rapeseed, Total, Cluj, Year 1999, Hectares, 220
Rapeseed, Total, Cluj, Year 2003, Hectares, 80
Rapeseed, Total, Cluj, Year 2004, Hectares, 169
Rapeseed, Total, Cluj, Year 2005, Hectares, 161
Rapeseed, Total, Cluj, Year 2006, Hectares, 40
Rapeseed, Total, Cluj, Year 2007, Hectares, 451
Rapeseed, Total, Cluj, Year 2008, Hectares, 539
Rapeseed, Total, Cluj, Year 2009, Hectares, 715
Rapeseed, Total, Cluj, Year 2010, Hectares, 353
Rapeseed, Total, Cluj, Year 2011, Hectares, 450
Rapeseed, Total, Cluj, Year 2012, Hectares, 664
Rapeseed, Total, Cluj, Year 2013, Hectares, 1058
Rapeseed, Total, Cluj, Year 2014, Hectares, 1675
Rapeseed, Total, Cluj, Year 2015, Hectares, 1621
Rapeseed, Total, Cluj, Year 2016, Hectares, 1772
Rapeseed, Total, Cluj, Year 2017, Hectares, 1071
Rapeseed, Total, Cluj, Year 2018, Hectares, 1397
Rapeseed, Total, Cluj, Year 2019, Hectares, 1248
Rapeseed, Total, Cluj, Year 2020, Hectares, 1173
Rapeseed, Total, Cluj, Year 2021, Hectares, 1559
Rapeseed, Total, Cluj, Year 2022, Hectares, 1851
Rapeseed, Total, Cluj, Year 2023, Hectares, 1874
Rapeseed, Total, Cluj, Year 2024, Hectares, 2015
Rapeseed, Total, Dambovita, Year 1991, Hectares, 24
Rapeseed, Total, Dambovita, Year 1998, Hectares, 340
Rapeseed, Total, Dambovita, Year 1999, Hectares, 1441
Rapeseed, Total, Dambovita, Year 2000, Hectares, 1331
Rapeseed, Total, Dambovita, Year 2001, Hectares, 1599
Rapeseed, Total, Dambovita, Year 2002, Hectares, 1663
Rapeseed, Total, Dambovita, Year 2003, Hectares, 439
Rapeseed, Total, Dambovita, Year 2004, Hectares, 387
Rapeseed, Total, Dambovita, Year 2005, Hectares, 471
Rapeseed, Total, Dambovita, Year 2006, Hectares, 497
Rapeseed, Total, Dambovita, Year 2007, Hectares, 1494
Rapeseed, Total, Dambovita, Year 2008, Hectares, 2250
Rapeseed, Total, Dambovita, Year 2009, Hectares, 2353
Rapeseed, Total, Dambovita, Year 2010, Hectares, 4627
Rapeseed, Total, Dambovita, Year 2011, Hectares, 2142
